局名,ppb
西部コミュニティセンター,4
国設大阪,0
茨木市役所,1
高石中学校,0
池田市立南畑会館,4
大東市役所,1
府立修徳学院,7
貝塚市消防署,14
島本町役場,0
富田林市役所,5
南海団地,28
泉南市役所,20
緑ケ丘小学校,9
三日市公民館,7
藤井寺市役所,4
岸和田中央公園,3
佐野中学校,7
泉大津市役所,2
豊能町役場,2
此花区役所,1
平尾小学校,2
野中小学校,2
桃谷中学校,2
大宮中学校,1
聖賢小学校,1
清江小学校,1
摂陽中学校,1
今宮中学校,1
九条南小学校,2
茨田北小学校,3
南港中央公園,1
出来島小学校,1
少林寺,1
浜寺,1
三宝,1
若松台,10
石津,1
登美丘,5
深井,1
美原,1
金岡南,1
高石消防署高師浜出張所,0
豊中市千成,1
豊中市千里,1
豊中市役所,-1
吹田市垂水,1
吹田市北消防署,1
吹田市高野台,1
東大阪市西保健センター,2
東大阪市六万寺,0
東大阪市環境衛生検査センター,0
楠葉,1
枚方市役所,0
王仁公園,0
高槻北,****
庄所,-1
八尾市保健所,1
成田,
寝屋川市役所,1
