局名,ppb
西部コミュニティセンター,1
国設大阪,0
茨木市役所,1
高石中学校,26
池田市立南畑会館,10
大東市役所,1
府立修徳学院,7
貝塚市消防署,36
島本町役場,0
富田林市役所,9
南海団地,31
泉南市役所,27
緑ケ丘小学校,23
三日市公民館,10
藤井寺市役所,3
岸和田中央公園,33
佐野中学校,38
泉大津市役所,31
豊能町役場,12
此花区役所,0
平尾小学校,2
野中小学校,2
桃谷中学校,3
大宮中学校,2
聖賢小学校,1
清江小学校,0
摂陽中学校,0
今宮中学校,2
九条南小学校,1
茨田北小学校,2
南港中央公園,2
出来島小学校,1
少林寺,1
浜寺,17
三宝,1
若松台,24
石津,8
登美丘,18
深井,3
美原,2
金岡南,1
高石消防署高師浜出張所,19
豊中市千成,2
豊中市千里,2
豊中市役所,2
吹田市垂水,1
吹田市北消防署,1
吹田市高野台,1
東大阪市西保健センター,2
東大阪市六万寺,1
東大阪市環境衛生検査センター,0
楠葉,2
枚方市役所,0
王仁公園,0
高槻北,****
庄所,0
八尾市保健所,0
成田,
寝屋川市役所,1
